participant,condition,max_cp_prob
sub-01,95,0.13247008673540725
sub-01,15,0.08699449697712523
sub-01,30,0.1542219862441047
sub-01,158,0.07486133486446409
sub-01,128,0.41263235201430387
sub-01,115,0.15212693975869715
sub-01,69,0.19328720874964708
sub-01,170,0.17680419889448834
sub-01,174,0.048722749623828374
sub-01,45,0.07764152108910176
sub-01,66,0.17907132263163067
sub-01,182,0.04600296673353105
sub-01,165,0.3095001312348401
sub-01,78,0.10128136057244268
sub-01,186,0.20069437824129424
sub-01,177,0.3214457056224972
sub-01,56,0.06497476882142696
sub-01,152,0.0797990490461992
sub-01,82,0.09844705196675607
sub-01,68,0.16788637521721939
sub-05,95,0.100645863274007
sub-05,15,0.08738927771575111
sub-05,30,0.10321586606579244
sub-05,158,0.6102024311770955
sub-05,128,0.16104768450142834
sub-05,115,0.4416499633283386
sub-05,69,0.10072024604374506
sub-05,170,0.28870577608963327
sub-05,174,0.4576112021977686
sub-05,45,0.050224025240311804
sub-05,66,0.11086940486432977
sub-05,182,0.25237023938703124
sub-05,165,0.21328070342497915
sub-05,78,0.09940827987863612
sub-05,186,0.5518157400527682
sub-05,177,0.21567966254367962
sub-05,56,0.13673986759264814
sub-05,152,0.11874517205970239
sub-05,82,0.35581999533310743
sub-05,68,0.4125626135570005
sub-10,95,0.06538236900444824
sub-10,15,0.1258602864376731
sub-10,30,0.19151503156569782
sub-10,158,0.1928234797770168
sub-10,128,0.09676429515469975
sub-10,115,0.11167952472128556
sub-10,69,0.06495782564583379
sub-10,170,0.08858140075349301
sub-10,174,0.05682855062528233
sub-10,45,0.0584651665597719
sub-10,66,0.3258050932696666
sub-10,182,0.38872068693023026
sub-10,165,0.16128765949111457
sub-10,78,0.2152778591856235
sub-10,186,0.2692277607960585
sub-10,177,0.15940134742587722
sub-10,56,0.18426515933490265
sub-10,152,0.2900034548184248
sub-10,82,0.10254808308414615
sub-10,68,0.11813914975682933
