participant,condition,peak_cp_ms,max_cp_prob
sub-01,3938,245.0,0.0445496663111542
sub-01,1034,95.0,0.04225099651061601
sub-01,12068,45.0,0.04065957851435439
sub-01,9244,595.0,0.05317899652016046
sub-01,7802,345.0,0.0321887972489126
sub-01,9270,745.0,0.1097850565208484
sub-01,13336,-105.0,0.0627495992282255
sub-01,6551,-105.0,0.08471301887316196
sub-01,3934,695.0,0.04105029586948454
sub-01,12002,645.0,0.0368359292351736
sub-01,2358,295.0,0.10652217268149262
sub-01,8040,545.0,0.038563830189415706
sub-01,9574,-5.0,0.04103471227485623
sub-01,6307,95.0,0.09282643393894394
sub-01,15953,695.0,0.09111748307801489
sub-01,11605,445.0,0.03174751953923191
sub-01,10870,395.0,0.03533308563632312
sub-01,8193,245.0,0.05105359056054827
sub-01,11526,395.0,0.048872894913035515
sub-01,10557,345.0,0.026970485417802895
sub-02,14643,345.0,0.05498718657232025
sub-02,14208,-55.0,0.10273608424354858
sub-02,10449,495.0,0.07178368453410268
sub-02,2533,495.0,0.03276111660072602
sub-02,4449,545.0,0.04689713783721096
sub-02,5544,345.0,0.0604070974869223
sub-02,8765,345.0,0.029526018255864622
sub-02,13823,445.0,0.031506190709436194
sub-02,911,245.0,0.05465303057198025
sub-02,15229,495.0,0.1260752978682095
sub-02,11635,45.0,0.07954126835090365
sub-02,2791,745.0,0.07423875158818313
sub-02,7251,295.0,0.19524335604024157
sub-02,14345,745.0,0.038990786161549024
sub-02,5490,195.0,0.032705939418053276
sub-02,15944,695.0,0.030204755686404676
sub-02,6738,-55.0,0.12055797467470661
sub-02,6985,-105.0,0.06845573463371314
sub-02,4659,95.0,0.05945156913009954
sub-02,306,-5.0,0.03412355113270011
sub-03,9235,645.0,0.09678097131654574
sub-03,1937,-55.0,0.07534940117242223
sub-03,14847,495.0,0.03696479355695262
sub-03,15737,95.0,0.08619491110639893
sub-03,15361,695.0,0.07993448647513815
sub-03,11713,695.0,0.057438866644683416
sub-03,12806,45.0,0.07722129247859098
sub-03,469,95.0,0.03899477311120207
sub-03,9495,295.0,0.09255729700056858
sub-03,9425,545.0,0.027880225415404712
sub-03,8250,545.0,0.0822797907472974
sub-03,14060,495.0,0.04797589409645359
sub-03,10184,595.0,0.056614827446811934
sub-03,15124,395.0,0.033523083201707764
sub-03,11464,595.0,0.038168018008984464
sub-03,8016,445.0,0.07344889086128956
sub-03,1911,395.0,0.051798102340342565
sub-03,7959,295.0,0.16749014020305225
sub-03,13850,595.0,0.0597837582834583
sub-03,5987,145.0,0.05223466305810074
