participant,train_shape,test_shape,train_mean,train_std,test_mean,test_std
sub-01,"(16540, 4, 17, 5)","(200, 80, 17, 5)",-3.480944871902466,1.3297117948532104,-3.5959110260009766,1.2738215923309326
sub-02,"(16540, 4, 17, 5)","(200, 80, 17, 5)",-3.4003653526306152,0.8641211986541748,-3.504409074783325,0.8570744395256042
sub-03,"(16540, 4, 17, 5)","(200, 80, 17, 5)",-3.411458969116211,0.9740533828735352,-3.5175673961639404,0.9605136513710022
sub-04,"(16540, 4, 17, 5)","(200, 80, 17, 5)",-3.888986110687256,1.2714965343475342,-3.939866542816162,1.2457937002182007
sub-05,"(16540, 4, 17, 5)","(200, 80, 17, 5)",-3.260028123855591,0.8204933404922485,-3.265437602996826,0.8178435564041138
sub-06,"(16540, 4, 17, 5)","(200, 80, 17, 5)",-3.360523223876953,0.7614583969116211,-3.363492250442505,0.7831986546516418
sub-07,"(16540, 4, 17, 5)","(200, 80, 17, 5)",-3.435101270675659,1.1498662233352661,-3.4603590965270996,1.1475427150726318
sub-08,"(16540, 4, 17, 5)","(200, 80, 17, 5)",-3.2654430866241455,0.9593197703361511,-3.363598585128784,0.9292184710502625
sub-09,"(16540, 4, 17, 5)","(200, 80, 17, 5)",-3.1999261379241943,0.8630824685096741,-3.2906787395477295,0.8418745994567871
sub-10,"(16540, 4, 17, 5)","(200, 80, 17, 5)",-3.3722457885742188,0.9388037323951721,-3.446568489074707,0.9045955538749695
